Rank,Strength
164321,0
165321,1
165421,2
165431,3
174321,4
175321,5
175421,6
175431,7
175432,8
176321,9
176421,10
176431,11
176432,12
176521,13
176531,14
176532,15
176541,16
176542,17
184321,18
185321,19
185421,20
185431,21
185432,22
186321,23
186421,24
186431,25
186432,26
186521,27
186531,28
186532,29
186541,30
186542,31
186543,32
187321,33
187421,34
187431,35
187432,36
187521,37
187531,38
187532,39
187541,40
187542,41
187543,42
187621,43
187631,44
187632,45
187641,46
187642,47
187643,48
187651,49
187652,50
187653,51
195321,52
195421,53
195431,54
195432,55
196321,56
196421,57
196431,58
196432,59
196521,60
196531,61
196532,62
196541,63
196542,64
196543,65
197321,66
197421,67
197431,68
197432,69
197521,70
197531,71
197532,72
197541,73
197542,74
197543,75
197621,76
197631,77
197632,78
197641,79
197642,80
197643,81
197651,82
197652,83
197653,84
197654,85
198321,86
198421,87
198431,88
198432,89
198521,90
198531,91
198532,92
198541,93
198542,94
198543,95
198621,96
198631,97
198632,98
198641,99
198642,100
198643,101
198651,102
198652,103
198653,104
198654,105
198721,106
198731,107
198732,108
198741,109
198742,110
198743,111
198751,112
198752,113
198753,114
198754,115
198761,116
198762,117
198763,118
198764,119
214320,120
215320,121
215420,122
215430,123
216320,124
216420,125
216430,126
216520,127
216530,128
216540,129
217320,130
217420,131
217430,132
217520,133
217530,134
217540,135
217620,136
217630,137
217640,138
217650,139
218320,140
218420,141
218430,142
218520,143
218530,144
218540,145
218620,146
218630,147
218640,148
218650,149
218720,150
218730,151
218740,152
218750,153
218760,154
219320,155
219420,156
219430,157
219520,158
219530,159
219540,160
219620,161
219630,162
219640,163
219650,164
219720,165
219730,166
219740,167
219750,168
219760,169
219820,170
219830,171
219840,172
219850,173
219860,174
219870,175
224310,176
225310,177
225410,178
225430,179
226310,180
226410,181
226430,182
226510,183
226530,184
226540,185
227310,186
227410,187
227430,188
227510,189
227530,190
227540,191
227610,192
227630,193
227640,194
227650,195
228310,196
228410,197
228430,198
228510,199
228530,200
228540,201
228610,202
228630,203
228640,204
228650,205
228710,206
228730,207
228740,208
228750,209
228760,210
229310,211
229410,212
229430,213
229510,214
229530,215
229540,216
229610,217
229630,218
229640,219
229650,220
229710,221
229730,222
229740,223
229750,224
229760,225
229810,226
229830,227
229840,228
229850,229
229860,230
229870,231
234210,232
235210,233
235410,234
235420,235
236210,236
236410,237
236420,238
236510,239
236520,240
236540,241
237210,242
237410,243
237420,244
237510,245
237520,246
237540,247
237610,248
237620,249
237640,250
237650,251
238210,252
238410,253
238420,254
238510,255
238520,256
238540,257
238610,258
238620,259
238640,260
238650,261
238710,262
238720,263
238740,264
238750,265
238760,266
239210,267
239410,268
239420,269
239510,270
239520,271
239540,272
239610,273
239620,274
239640,275
239650,276
239710,277
239720,278
239740,279
239750,280
239760,281
239810,282
239820,283
239840,284
239850,285
239860,286
239870,287
243210,288
245210,289
245310,290
245320,291
246210,292
246310,293
246320,294
246510,295
246520,296
246530,297
247210,298
247310,299
247320,300
247510,301
247520,302
247530,303
247610,304
247620,305
247630,306
247650,307
248210,308
248310,309
248320,310
248510,311
248520,312
248530,313
248610,314
248620,315
248630,316
248650,317
248710,318
248720,319
248730,320
248750,321
248760,322
249210,323
249310,324
249320,325
